Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
5/7/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.695,12.247,6.208,6.261,5.289,4.115,6.252,6.607,7.648,8.03,9.37,10.715,13.165,3.752,5.681,3.722,5.711,3.414,4.708,4.45,3.139,3.621,5.812,3.138,3.14,3.139,3.539,6.279
5/8/2008,5.909,3.138,3.476,5.957,3.14,3.139,3.408,6.025,3.378,9.156,44.419,6.089,3.314,6.119,3.281,6.276,6.171,3.229,6.279,6.218,3.181,6.276,6.279,6.276,3.124,6.279,6.279,6.276,6.279,6.279,9.309,6.401,9.281,3.445,3.14,6.093,6.276,3.359,3.14,3.138,3.139,5.992,3.441,5.959,3.474,3.138,5.911,3.523
5/9/2008,3.138,3.139,5.847,3.586,3.139,3.14,5.782,3.651,3.139,23.889,15.361,7.436,3.733,3.139,5.649,3.784,3.14,5.603,6.277,6.276,6.278,6.277,6.278,6.277,6.278,3.948,7.765,11.711,5.717,7.668,9.415,9.414,4.982,7.529,5.068,3.138,5.286,4.147,3.139,3.138,5.22,4.214,3.139,3.139,5.156,4.279,3.139,3.139
5/10/2008,3.139,5.073,4.361,3.139,3.139,5.007,4.425,3.139,3.139,4.943,4.485,3.14,4.899,4.539,3.139,3.139,3.139,4.812,4.621,3.138,3.139,4.746,4.688,3.138,3.139,3.139,3.139,3.14,4.629,4.803,3.139,3.139,3.138,3.139,3.139,4.511,4.922,3.138,3.139,3.139,3.139,4.412,5.021,3.139,4.36,5.072,3.139,3.139
5/11/2008,3.139,3.139,4.262,5.171,3.139,3.139,4.194,5.24,3.139,3.138,4.13,5.304,3.138,3.14,4.066,5.369,3.136,3.134,4.009,5.433,3.14,3.14,3.139,3.138,3.905,5.529,3.139,3.138,3.14,3.14,3.14,3.793,5.64,3.14,3.14,3.729,5.704,3.14,3.14,3.14,3.139,3.63,5.803,3.14,3.14,3.568,5.865,3.14
5/12/2008,3.14,3.504,5.93,3.138,3.455,5.979,3.14,3.14,3.392,11.456,70.297,3.344,6.091,3.312,6.122,3.278,6.155,3.14,3.232,6.276,6.22,3.183,6.248,3.136,3.129,6.279,3.121,6.262,3.216,3.138,6.187,3.248,6.155,3.279,6.124,6.279,3.326,3.138,6.059,3.375,3.14,3.14,5.997,3.438,3.14,8.76,3.83,3.14
5/13/2008,5.903,3.532,3.14,5.855,3.579,5.824,3.612,3.14,5.779,3.656,5.747,3.687,5.713,3.72,5.683,6.279,3.768,3.14,5.617,8.741,4.525,5.571,6.279,6.279,5.419,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146
5/14/2008,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,5.146,4.174,4.625,6.292,7.741,9.419,6.558,4.552,6.278,6.277,4.915,4.476,6.273,4.978,4.439,6.279,5.011,4.391,5.042,4.359,5.074,4.323,6.286
5/15/2008,6.279,5.139,4.265,6.279,5.186,4.218,5.217,4.185,5.248,4.153,6.279,5.297,4.103,6.279,5.346,4.054,5.377,4.016,6.286,6.273,5.448,3.958,6.278,6.277,6.278,5.525,3.876,5.559,3.844,6.275,5.606,3.79,6.264,5.675,3.745,5.689,3.705,5.729,3.139,3.661,5.771,3.628,5.805,3.598,5.835,3.14,3.549,5.884
5/16/2008,3.516,5.918,3.482,5.951,3.138,3.434,6,3.138,3.385,6.276,6.066,3.138,3.319,6.114,3.14,3.27,6.276,6.377,9.255,3.267,9.321,3.173,6.276,6.279,6.276,6.279,6.279,6.279,3.12,6.279,3.237,6.163,3.27,6.133,6.276,6.279,3.335,3.138,6.051,3.382,6.018,3.415,3.139,5.966,3.467,5.933,3.5,5.899
5/17/2008,3.533,3.138,5.849,3.584,3.138,5.801,6.276,3.65,3.131,5.739,3.701,3.139,5.683,6.279,3.762,3.141,5.618,3.816,3.14,5.563,3.869,5.539,6.277,3.913,3.138,5.471,3.962,3.139,5.423,4.011,5.377,4.055,5.358,6.278,4.094,3.132,5.292,4.148,5.261,6.277,4.19,3.14,5.196,4.239,5.162,4.27,5.132,6.279
5/18/2008,4.318,5.082,4.352,5.051,4.382,5.017,4.416,4.985,4.448,3.14,4.938,4.497,4.905,4.528,4.873,4.56,4.839,6.279,4.609,3.139,4.776,4.659,4.743,4.69,3.14,4.696,4.738,4.661,4.772,4.631,4.803,4.597,4.837,3.139,3.871,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772,4.772
