Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
5/23/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.429,0.45,0.456,0.431,0.355,0.315,0.271,0.187,0.26,0.288,0.215,0.26,0.182,0.125,0.191,0.15,0.059,0.018,0.01,0.006,0.002,0.002,0.002,0.001,0,0,0,0
5/24/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.01,0.007,0.005,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5/25/2008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0
5/26/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.005,0.005,0.013,0.015,0.006,0.003,0.003,0.028,0.024,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
5/27/2008,0.001,0.001,0.002,0.003,0.003,0.044,0.038,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.006,0.006,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.009,0.008,0.008,0.008,0.008
5/28/2008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.05,0.069,0.096,0.217,0.285,0.347,0.559,0.531,0.344,0.346,0.37,0.39,0.487,0.493,0.425,0.456,0.454,0.359,0.381,0.501,0.504,0.399,0.188,0.141,0.164,0.054,0.007,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5/29/2008,0.001,0.001,0.001,0.001,0.001,0.041,0.041,0.003,0.003,0.022,0.04,0.035,0.085,0.125,0.115,0.23,0.35,0.375,0.389,0.499,0.611,0.53,0.43,0.38,0.27,0.289,0.338,0.285,0.307,0.31,0.315,0.359,0.277,0.136,0.169,0.166,0.06,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5/30/2008,0.001,0.001,0.001,0.001,0.001,0.04,0.051,0.02,0.02,0.02,0.02,0.049,0.065,0.099,0.213,0.362,0.401,0.345,0.369,0.501,0.547,0.441,0.424,0.416,0.385,0.428,0.393,0.324,0.325,0.281,0.26,0.26,0.24,0.163,0.133,0.137,0.047,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5/31/2008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0
6/1/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.004,0.002,0.002,0.002,0.006,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001
6/2/2008,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.023,0.09,0.109,0.101,0.224,0.281,0.269,0.356,0.394,0.497,0.615,0.583,0.581,0.514,0.384,0.359,0.394,0.439,0.375,0.349,0.315,0.326,0.266,0.122,0.077,0.13,0.109,0.026,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
6/3/2008,0.001,0.001,0.001,0.001,0.001,0.035,0.047,0.003,0.003,0.023,0.05,0.037,0.037,0.094,0.166,0.285,0.4,0.391,0.371,0.432,0.568,0.62,0.637,0.588,0.456,0.486,0.509,0.37,0.343,0.334,0.363,0.433,0.355,0.212,0.15,0.177,0.105,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004
6/4/2008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.029,0.081,0.102,0.152,0.244,0.308,0.435,0.488,0.449,0.519,0.618,0.552,0.507,0.419,0.364,0.44,0.478,0.378,0.376,0.473,0.478,0.363,0.3,0.177,0.177,0.076,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
