Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
1/25/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.585,178.351,178.366,178.408,191.155,200.662,194.129,189.544,183.256,172.015,186.436,181.477,141.671,59.984,13.239,13.239,13.239
1/26/2010,13.239,13.239,13.239,13.239,13.239,13.239,13.239,13.239,13.239,13.239,13.239,13.239,228.022,338.808,288.533,260.038,232.566,216.633,211.801,199.16,201.767,199.034,196.209,194.571,195.89,187.991,191.015,200.709,194.325,195.579,194.281,183.025,191.17,194.558,189.54,208.359,223.058,210.496,188.061,191.008,194.35,189.513,189.559,139.176,51.6,13.936,13.936,13.936
1/27/2010,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,237.613,362.013,310.892,276.356,237.71,222.664,223.014,210.74,200.647,188.184,184.646,177.03,160.985,149.875,151.14,162.295,161.032,156.059,162.288,154.819,144.957,157.344,161.003,149.894,144.912,138.714,146.22,174.32,171.028,162.54,167.206,161.022,131.328,117.7,128.809,145.91
1/28/2010,137.629,122.77,116.443,117.687,122.618,128.801,127.63,122.618,122.4,140.871,137.897,141.3,180.762,219.2,227.928,228.754,233.512,216.131,194.605,207.891,186.503,156.146,174.543,177.217,167.216,154.98,151.048,174.466,158.895,164.47,171.113,168.321,166.155,156.059,162.188,179.498,189.501,177.283,161.143,156.06,162.176,167.258,179.301,128.569,43.769,15.329,15.329,15.329
1/29/2010,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,213.392,324.396,266.563,232.203,230.054,233.115,222.954,235.127,239.182,215.944,243.075,236.336,224.842,227.173,217.839,198.794,190.488,212.722,204.852,201.626,229.961,239.207,240.128,239.284,234.09,228.08,229.031,227.972,222.701,222.967,223.196,169.016,64.819,15.329,15.329,15.329
1/30/2010,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,15.329,258.044,378.625,324.951,327.658,282.306,256.462,274.272,266.001,233.393,240.812,238.536,217.057,205.847,218.498,210.373,207.333,217.012,199.978,207.315,210.846,218.506,246.198,244.538,228.232,234.794,233.403,228.932,228.206,222.948,222.981,228.857,228.19,228.92,180.933,72.202,17.517
1/31/2010,17.517,17.517,17.517,17.517,17.517,17.517,17.517,17.517,17.517,17.517,17.517,17.517,254.6,392.348,364.473,348.126,289.309,267.324,273.976,278.116,261.752,244.673,245.807,250.608,245.24,233.551,228.858,228.248,240.476,262.303,250.019,228.263,228.846,263.254,284.007,255.446,234.093,239.922,245.311,239.42,234.098,239.978,245.24,256.867,261.802,192.506,73.651,18.316
2/1/2010,18.316,18.316,18.316,18.316,18.316,18.316,18.316,18.316,18.316,18.316,18.316,18.316,274.54,460.825,372.154,317.108,295.216,283.906,278.698,267.39,244.939,228.336,222.822,211.52,200.76,200.655,217.955,211.166,189.504,183.765,195.636,211.799,194.594,178.408,189.823,217.845,239.333,250.969,256.949,250.738,233.8,222.95,228.728,171.234,63.282,17.42,17.42,17.42
2/2/2010,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,281.212,404.493,284.361,284.239,250.328,211.613,200.652,200.711,195.042,189.24,177.943,167.072,150.647,145.412,156.063,150.13,139.146,139.458,156.282,155.931,144.96,162.1,195.191,205.842,200.487,195.433,195.447,211.904,222.885,211.719,189.527,139.078,66.639,33.444,33.444,33.444
2/3/2010,33.444,33.444,33.444,33.444,33.444,33.444,33.444,33.444,33.444,122.85,217.447,222.948,250.546,250.917,217.618,234.102,278.429,295.419,279.017,273.181,267.553,261.953,250.535,234.091,228.87,217.456,217.29,222.947,228.685,228.61,239.591,261.934,234.18,206.183,211.978,228.474,223.103,206.185,200.744,195.031,195.183,184.033,183.882,167.427,128.398,122.507,128.255,133.682
