Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
5/7/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.89,40.259,40.112,39.239,38.371,38.48,41.237,51.083,45.937,44.521,31.485,29.263,26.422,20.617,27.207,14.582,16.216,14.448,12.958,11.891,12.999,11.803,12.124,11.363,11.44,10.113
5/8/2008,11.593,11.033,11.285,14.218,10.644,11.374,11.047,11.375,11.461,13.766,12.622,18.129,17.433,19.016,25.426,32.918,43.044,47.953,47.473,48.607,44.115,51.469,50.738,45.899,44.794,46.398,42.846,53.267,49.682,48.661,46.623,48.091,38.152,28.436,21.252,21.096,19.803,16.227,15.713,14.839,11.117,11.433,11.78,11.663,11.569,12.25,13.39,14.202
5/9/2008,12.168,11.206,10.073,10.997,14.464,11.528,12.849,11.07,15.063,14.445,13.877,14.198,15.805,22.208,26.209,31.485,37.986,42.763,47.323,46.988,46.473,50.58,47.865,45.864,47.414,47.26,48.767,49.047,47.026,47.962,41.071,41.959,28.616,24.792,18.129,19.459,18.876,17.078,16.326,14.226,9.921,10.723,10.493,10.418,10.209,10.498,10.469,9.168
5/10/2008,10.383,10.415,10.602,10.293,10.283,10.958,10.753,10.824,10.479,10.318,9.711,11.209,10.395,10.574,11.587,13.125,13.028,14.212,12.827,14.716,12.811,11.202,10.397,12.751,12.51,9.005,10.399,11.153,10.473,10.503,12.184,10.924,10.739,9.546,11.14,11.074,13.442,11.72,10.468,11.864,10.572,11.757,10.873,9.828,10.056,14.093,9.173,13.779
5/11/2008,11.721,8.893,9.132,10.808,11.878,11.038,10.061,11.02,10.506,10.556,12.622,10.845,11.796,11.648,11.865,10.479,12.809,12.413,12.526,10.889,13.91,10.87,12.38,12.716,11.196,11.67,12.02,10.772,11.657,12.2,13.063,15.216,11.261,11.528,11.903,12.205,11.719,11.82,11.257,10.71,11.501,10.38,11.26,12.373,10.939,12.363,12.938,10.654
5/12/2008,13.121,10.7,11.766,12.607,9.859,11.866,12.599,13.743,11.973,10.326,13.999,16.639,18.104,22.166,24.454,31.61,34.018,35.727,37.419,37.321,41.521,36.743,35.896,40.87,37.701,38.552,37.372,36.637,36.531,40.326,34.673,33.9,30.516,23.61,20.493,19.519,19.545,18.128,14.205,15.301,12.651,11.582,11.547,12.61,13.086,12.69,11.501,12.289
5/13/2008,12.231,11.649,12.024,12.448,11.909,12.43,12.373,11.442,12.028,12.126,12.285,12.289,13.632,20.983,24.23,30.945,43.484,42.989,42.608,42.765,42.056,42.518,43.289,39.019,24.83,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822
5/14/2008,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,24.822,26.501,38.723,38.962,40.846,43.986,35.917,36.685,31.796,27.129,26.321,23.841,23.065,21.836,17.885,15.668,13.946,13.99,13.564,12.68,13.189,13.255,13.228,13.373
5/15/2008,12.66,13.646,12.881,12.649,12.818,12.754,13.426,14.088,13.29,14.068,14.343,15.141,18.49,21.474,25.767,36.292,56.228,62.509,47.604,46.802,47.396,50.901,45.761,48.116,45.237,44.76,45.804,44.707,47.076,45.706,41.239,38.002,35.965,28.756,25.594,24.395,19.129,20.358,18.686,18.256,16.818,14.964,12.375,14.144,13.017,12.518,13.289,11.865
5/16/2008,13.249,12.49,13.11,13.086,12.568,12.427,12.109,12.011,12.568,12.993,13.998,17.528,18.148,20.887,31.947,45.768,46.851,54.744,52.091,51.798,52.135,49.043,47.767,51.179,47.029,49.287,46.206,48.398,44.933,43.025,41.204,37.848,28.282,19.847,22.648,17.656,16.144,15.603,10.47,9.644,10.214,9.158,9.78,9.365,9.68,8.745,10.043,9.128
5/17/2008,10.188,8.457,11.227,8.675,9.203,9.966,8.095,8.429,9.742,9.266,9.727,10.495,8.292,10.401,8.479,9.365,10.241,10.123,10.623,9.722,10.14,11.132,10.809,10.385,9.574,10.186,10.083,10.64,10.67,9.281,9.94,11.431,10.426,7.949,9.56,9.841,8.733,11.276,9.761,8.863,10.177,9.514,9.949,10.461,10.232,9.577,9.991,10.027
5/18/2008,10.114,10.342,10.042,10.394,10.38,10.26,10.19,10.546,9.827,10.28,10.24,10.429,9.317,9.976,10.128,10.096,11.283,10.51,10.351,10.462,10.906,9.611,8.757,9.16,9.21,11.598,10.053,10.457,8.928,8.831,10.907,9.998,11.425,10.648,10.544,10.4,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352
5/19/2008,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.352,10.738,16.587,19.403,25.258,58.272,51.46,52.994,47.348,46.861,45.252,47.354,46.729,49.638,45.086,43.627,48.419,45.301,45.131,46.756,40.046,25.197,25.637,25.637,25.637,25.123,17.916,16.804,16.914,8.676,10.02,10.592,8.807,10.465,9.051,8.78,8.502,8.996
